worker_id,quality
A1P6OXEJ86HQRM,1.0
A1PTH9KTRO06EG,1.0
AOMFEAWQHU3D8,1.0
A3J2T92V25NJ83,1.0
A3V4AW6DGWBHDO,1.0
A3CBN6Y98YGAHZ,1.0
A38ZLHQKD09JMM,1.0
A30AJ8U79CEFE0,1.0
A24XBVPC9MYJVX,1.0
AOG0PUCLMU0HH,1.0
A9KE8HAKL9WFB,1.0
A1S8KMGKJACGVO,1.0
A34CPKFZXBX1PO,1.0
A13GUTDMGGZZDL,1.0
A2GQH4SWIOFH2L,1.0
A3FJ3XMXO8UAJ0,1.0
A1HBD85BK13XD8,1.0
AY4E4CDN0J6JL,1.0
A29CNQYJWMJ7G9,1.0
A1WPCMXFU9NH9G,1.0
A2JXPT39AWRES7,1.0
A13CAAOJ5GP4UQ,1.0
AWEUE7867RJ7B,1.0
A1OQIXAU1SEJ4P,1.0
ACY3ZOOZMVS7Y,1.0
A1V70LAP4UDYV6,1.0
A1UHJ56MF9CSQM,1.0
A2WPHVMLLEV5ZB,1.0
A3454T4PU9GJM0,1.0
A2VUF0V7HT51Q3,1.0
A002160837SWJFPIAI7L7,1.0
A4J4GGMKJ68L0,1.0
A3F1SO6HO48A0E,1.0
ANUA9X7BFPTR8,1.0
A3PQVDFT21IISU,1.0
A11F3MA5FWH6SJ,1.0
A2HR7ZIX42FEPG,1.0
A2BEH9YQPHKP6A,1.0
AR17E7L7JAOBI,1.0
A7SXWHGK8B40R,1.0
ANGMXN2A0XW8Q,1.0
A3TDA1NWHNQFE3,1.0
A3MPQ78J05KKUI,1.0
A45HNDMV9V0NA,1.0
A2O7LNRIBPIHAF,1.0
A1O57XVTTB1PNZ,1.0
ANHO7XT3KW3IY,1.0
A2RBG0G82ULSZC,1.0
A2LEBJWW395FST,1.0
A84KYYIRZ3K00,1.0
AXMPSUNKUBEIL,1.0
A3BSK47WPPE876,1.0
A2GXLM74C7BDI8,1.0
A7HQZM8XB0QKX,1.0
A2PWE9TKEM99BA,1.0
A1TPGXT718D68E,1.0
ASJC3FUNX995V,1.0
A2WO6SGQGS5SEM,1.0
A38GSW5JQW6NVB,1.0
ASNMT3I94HZ44,0.9
ALTMSSCYKZS8Z,0.8
A40O6S62MI2VC,0.8
A1AZU9E0U16J6B,0.8
A9WGDBDXUNLOD,0.8
A3R7RQCSWU4848,0.8
A2SWHTHZD88X5H,0.8
AH7I3K3OJKA5L,0.8
A3GTPW3MYSLMR7,0.8
A10L6JFWPRXEKM,0.8
A25EVN04BC2KJ6,0.8
A1J7C4V2AZSHQX,0.8
A2VGEE0ZIZ8CBQ,0.8
AW3QNBWHGXVQK,0.8
A3PSV85ZUXP9VF,0.8
A140F9GDRQKAT2,0.8
A3T5UAYFKJBVTA,0.8
A2HM35CWB7IIFM,0.8
A25EQMXHONYSA5,0.8
A16TO0535NAM2,0.8
A1HWMTN7NNV4UA,0.8
AK1GE19RT3PK6,0.8
A21EZISIJ3JPSW,0.8
A1ZDR2UN7M92LI,0.8
A8ZUM922CBH6S,0.8
A3UWHJTAUTF6TO,0.8
A39FJ8DCK0T28,0.8
A3I8MXQRV03UZP,0.8
A340FMNO9WJG4J,0.6
A2I9PUZT19ZBO8,0.6
A20EUZA6WR0UWY,0.6
A1X19BA815KYJ4,0.6
A231NY4QEQ58PJ,0.6
A19BDVIRTDE5RQ,0.6
ACXP8KHFX06KR,0.6
A35Z5I09VVHKNS,0.6
A261NEZSEFSRQI,0.6
A1HSRWOEK6ZJPR,0.6
A182N7RLXGSCZG,0.4
ACD400BAWY7QC,0.4
A1BZWNYN6GHJ76,0.2
A1GRLZL4F72RBJ,0.2
